capitais;Sim;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Soma de num_morte_mun_2020;Rótulos de Coluna;;;;;;;;;;;;;;;;;;;;;;;;;
Rótulos de Linha;Ciclistas;Motociclistas;Ocupantes de automóvel;Outros;Pedestres;Total;Total Geral;;;;;;;;;Ciclistas;Motociclistas;Ocupantes de automóvel;Outros;Pedestres;Total;;TX_MORT_PED;TX_MORT_CICL;TX_MORT_AUTO;TX_MORT_MOTO
110020;73,3;56,8;62,5;61,3;76,5;63,5;393,9;;2800308;280030;Aracaju;28010;Região Metropolitana de Aracaju;2019;;;;90;100;;89,9;;87;83,3;90;90,8
120040;100;100;100;87,2;100;90,9;578,1;;1501402;150140;Belém;15010;Região Metropolitana de Belém;2019;;;;66,7;95;;93,3;;94;100;66,7;93,8
130260;100;89,2;82,1;75;90,6;88,4;525,3;;3106200;310620;Belo Horizonte;31011;Região Metropolitana de Belo Horizonte;2019;;;;62,9;60;;66,8;;70,7;53,8;62,9;67,8
140010;60;90;76,5;75;100;78,8;480,3;;1400100;140010;Boa Vista;-;-;2019;;;;76,5;75;;78,8;;100;60;76,5;90
150140;100;93,8;66,7;95;94;93,3;542,8;;5300108;530010;Brasília;53010;Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2019;;;;72,9;73,7;;67,5;;71;66,7;72,9;59
160030;100;91,7;75;100;100;93;559,7;;5002704;500270;Campo Grande;-;-;2019;;;;51,9;66,7;;62,8;;52;64,3;51,9;68,1
172100;75;63;61,1;73,9;60;65,7;398,7;;5103403;510340;Cuiabá;51011;Região Metropolitana do Vale do Cuiabá;2019;;;;86,4;77,5;;72,9;;56;75;86,4;71,9
211130;66,7;81,4;58,3;89,4;89,1;85;469,9;;4106902;410690;Curitiba;41010;Região Metropolitana de Curitiba;2019;;;;16,2;21,4;;20,2;;22,4;40,9;16,2;14,1
221100;90;85,8;83,3;74,1;87,1;83,7;504;;4205407;420540;Florianópolis;42011;Região Metropolitana de Florianópolis;2019;;;;0;50;;16,4;;33,3;0;0;9,5
230440;100;89,7;83,3;100;83,9;88,6;545,5;;2304400;230440;Fortaleza;23010;Região Metropolitana de Fortaleza;2019;;;;83,3;100;;88,6;;83,9;100;83,3;89,7
240810;100;90;88,9;93,5;80;90;542,4;;5208707;520870;Goiânia;52010;Região Metropolitana de Goiânia;2019;;;;68;77,2;;75,1;;74,6;68,8;68;76,7
250750;100;92,2;100;84,4;78,3;87,6;542,5;;2507507;250750;João Pessoa;25010;Região Metropolitana de João Pessoa;2019;;;;100;84,4;;87,6;;78,3;100;100;92,2
261160;70,4;71,8;69,2;78,6;67,2;70,6;427,8;;1600303;160030;Macapá;16010;Região Metropolitana de Macapá;2019;;;;75;100;;93;;100;100;75;91,7
270430;93,3;94,8;100;91,3;96,4;94,4;570,2;;2704302;270430;Maceió;27010;Região Metropolitana de Maceió;2019;;;;100;91,3;;94,4;;96,4;93,3;100;94,8
280030;83,3;90,8;90;100;87;89,9;541;;1302603;130260;Manaus;13010;Região Metropolitana de Manaus;2019;;;;82,1;75;;88,4;;90,6;100;82,1;89,2
292740;100;86;84,6;92,5;78,7;85,1;526,9;;2408102;240810;Natal;24010;Região Metropolitana de Natal;2019;;;;88,9;93,5;;90;;80;100;88,9;90
310620;53,8;67,8;62,9;60;70,7;66,8;382;;1721000;172100;Palmas;-;-;2019;;;;61,1;73,9;;65,7;;60;75;61,1;63
320530;70,6;64,2;42,9;66,7;75;66,4;385,8;;4314902;431490;Porto Alegre;43010;Região Metropolitana de Porto Alegre;2019;;;;9,5;20;;12,1;;12,5;14,3;9,5;11,9
330455;50;67,9;54,8;62,5;69,8;65,5;370,5;;1100205;110020;Porto Velho;-;-;2019;;;;62,5;61,3;;63,5;;76,5;73,3;62,5;56,8
355030;41,7;54,8;47;56,9;49,5;52,3;302,2;;2611606;261160;Recife;26010;Região Metropolitana do Recife;2019;;;;69,2;78,6;;70,6;;67,2;70,4;69,2;71,8
410690;40,9;14,1;16,2;21,4;22,4;20,2;135,2;;1200401;120040;Rio Branco;-;-;2019;;;;100;87,2;;90,9;;100;100;100;100
420540;0;9,5;0;50;33,3;16,4;109,2;;3304557;330455;Rio de Janeiro;33010;Região Metropolitana do Rio de Janeiro;2019;;;;54,8;62,5;;65,5;;69,8;50;54,8;67,9
431490;14,3;11,9;9,5;20;12,5;12,1;80,3;;2927408;292740;Salvador;29010;Região Metropolitana de Salvador;2019;;;;84,6;92,5;;85,1;;78,7;100;84,6;86
500270;64,3;68,1;51,9;66,7;52;62,8;365,8;;2111300;211130;São Luís;21010;Região Metropolitana de São Luís;2019;;;;58,3;89,4;;85;;89,1;66,7;58,3;81,4
510340;75;71,9;86,4;77,5;56;72,9;439,7;;3550308;355030;São Paulo;35010;Região Metropolitana de São Paulo;2019;;;;47;56,9;;52,3;;49,5;41,7;47;54,8
520870;68,8;76,7;68;77,2;74,6;75,1;440,4;;2211001;221100;Teresina;22010;Região Metropolitana de Teresina;2019;;;;83,3;74,1;;83,7;;87,1;90;83,3;85,8
530010;66,7;59;72,9;73,7;71;67,5;410,8;;3205309;320530;Vitória;32010;Região Metropolitana de Vitória;2019;;;;42,9;66,7;;66,4;;75;70,6;42,9;64,2
Total Geral;1958,1;1932,9;1794;2003,8;1955,6;1926,5;11570,9;;;;;;;;;;;;;;;;;;;
