"NOME";"tipo";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018";"X2019";"X2020"
"Região Metropolitana do Vale do Rio Cuiabá";"total";54,1501976284585;60,6837606837607;51,8518518518518;52,8384279475983;50,2024291497976;52,4904214559387;54,2635658914729;65,7794676806084;62,828947368421;65,0746268656716;62,8318584070796;67,1469740634006;66,6666666666667;68,5714285714286;72,5806451612903;70,4545454545455;70,5298013245033;76,3076923076923;72,7564102564102;68,4873949579832;77,1739130434783
"Região Metropolitana do Vale do Piancó";"total";37,5;33,3333333333333;66,6666666666667;50;50;44,4444444444444;72,7272727272727;50;91,6666666666667;92,3076923076923;75;68,4210526315789;81,8181818181818;77,7777777777778;85,7142857142857;86,6666666666667;73,0769230769231;94,1176470588235;79,1666666666667;87,5;95,4545454545455
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"total";14,0684410646388;15,5844155844156;16,632860040568;14,4050104384134;16,7714884696017;18,5682326621924;17,2949002217295;22,0472440944882;21,4711729622266;20,3271028037383;15,7175398633257;15,866388308977;24,468085106383;20,1058201058201;21,6836734693878;22,4489795918367;20,1807228915663;20,1986754966887;25,4966887417219;29,1390728476821;27,7027027027027
"Região Metropolitana do Vale do Paraíba";"total";46,4285714285714;90,4761904761905;50;33,3333333333333;69,2307692307692;66,6666666666667;78,9473684210526;54,1666666666667;100;71,4285714285714;82,7586206896552;87,5;85,1851851851852;87,0967741935484;100;96,7741935483871;100;100;90,4761904761905;84;100
"Região Metropolitana do Vale do Mamanguape";"total";66,6666666666667;40;100;100;72,7272727272727;82,3529411764706;94,4444444444444;84,6153846153846;90;88;65;80;80,9523809523809;88,4615384615385;93,75;79,1666666666667;84,375;89,2857142857143;100;88,2352941176471;94,7368421052632
"Região Metropolitana do Vale do Itajaí";"total";4,06976744186047;0,649350649350649;0,606060606060606;1,75438596491228;2,47524752475248;4,8780487804878;2,71493212669683;5,77777777777778;1,02040816326531;6,11353711790393;6,2015503875969;7,39299610894942;6,51162790697674;5,18867924528302;8;8,93854748603352;8,28025477707006;10,5263157894737;6,04026845637584;8,04597701149425;21,8978102189781
"Região Metropolitana do Vale do Aço";"total";18,1818181818182;16,2790697674419;23,8805970149254;18,9189189189189;9,57446808510638;22,7272727272727;26,0869565217391;19,1780821917808;17,7570093457944;26,7241379310345;28,6713286713287;37,2670807453416;41,6;45,3781512605042;60,2941176470588;54,4117647058823;52,4193548387097;60,7361963190184;53,448275862069;67,9245283018868;64,4859813084112
"Região Metropolitana do Sul do Estado";"total";75;81,8181818181818;50;50;100;77,7777777777778;85,7142857142857;83,3333333333333;60;100;75;85,7142857142857;88,8888888888889;75;90;92,8571428571429;75;93,3333333333333;100;64,2857142857143;77,7777777777778
"Região Metropolitana do Sudoeste Maranhense";"total";55,8139534883721;61,5384615384615;60;81,0344827586207;82,2222222222222;69,0265486725664;70,7317073170732;74,2331288343558;80,4511278195489;82,6771653543307;94,7712418300653;91,2790697674419;81,140350877193;91,6230366492147;86,1751152073733;85,3535353535353;88,7323943661972;91,005291005291;92,7631578947368;89,4409937888199;92,3664122137405
"Região Metropolitana do Sertão";"total";62,5;85;71,4285714285714;68,4210526315789;64,7058823529412;87,5;87,5;92,8571428571429;95;81,25;88,4615384615385;82,1428571428571;93,0232558139535;96,1538461538462;94,7368421052632;96,7741935483871;96,969696969697;90,4761904761905;93,9393939393939;87,5;96,4285714285714
"Região Metropolitana do São Francisco";"total";82,3529411764706;83,3333333333333;85,7142857142857;83,3333333333333;68;75;69,2307692307692;86,3636363636364;77,7777777777778;86,6666666666667;100;87,5;93,1034482758621;84,2105263157895;91,1764705882353;100;94,4444444444444;96,1538461538462;100;100;94,4444444444444
"Região Metropolitana do Rio de Janeiro";"total";42,1650717703349;43,0724637681159;45,7534246575342;46,0903083700441;49,1471215351812;52,6515151515151;50,9708737864078;52,5246305418719;51,4556962025316;53,5150645624103;54,8709847288046;56,2645011600928;55,6463975472662;56,1643835616438;59,3733681462141;56,4160971905847;58,6253369272237;60,4601006470165;63,5408852213053;62,0267260579065;63,7459807073955
"Região Metropolitana do Recife";"total";79,1176470588235;85,28;84,6041055718475;81,25;87,1345029239766;85,2017937219731;92,1507064364207;89,0225563909774;84,375;83,3783783783784;81,4006888633754;82,4120603015075;86,01108033241;80,4615384615385;77,7188328912467;76,4390896921017;78,6516853932584;79,5180722891566;72,1337579617834;74,0740740740741;71,858407079646
"Região Metropolitana do Norte/Nordeste Catarinense";"total";5,65371024734982;2,94985250737463;5,30973451327434;2,89855072463768;6,41399416909621;5,6657223796034;6,08465608465608;4,08163265306122;3,7037037037037;9,43396226415094;10,0890207715134;10;8,92857142857143;5,98802395209581;10,9660574412533;13,6752136752137;12,5;12,5475285171103;14,3426294820717;15,5642023346303;11,3138686131387
"Região Metropolitana do Médio Sertão";"total";62,5;81,8181818181818;70;93,3333333333333;62,5;78,5714285714286;100;63,1578947368421;91,6666666666667;89,4736842105263;92;89,4736842105263;94,2857142857143;90,2439024390244;85,7142857142857;90,9090909090909;97,1428571428571;100;100;100;100
"Região Metropolitana do Extremo Oeste";"total";21,9512195121951;10,2040816326531;6,38297872340426;4,41176470588235;0;6,25;4,44444444444444;5,8252427184466;16,4383561643836;7,57575757575758;10,958904109589;12,7272727272727;16,8539325842697;14,6067415730337;9,75609756097561;11,25;10,8108108108108;26,0869565217391;7,04225352112676;11,9047619047619;18,3333333333333
"Região Metropolitana do Contestado";"total";5,93220338983051;9,90990990990991;5,26315789473684;12,8787878787879;6,47482014388489;6,20689655172414;4,13793103448276;4,63576158940397;5,3030303030303;9,16030534351145;10,2362204724409;11,8421052631579;13,6363636363636;15,5737704918033;13,2450331125828;8,06451612903226;8,52713178294574;21,259842519685;11,2903225806452;15,1515151515152;19,0839694656489
"Região Metropolitana do Cariri";"total";60,3960396039604;67,032967032967;37,037037037037;31,0344827586207;51,7647058823529;65,5844155844156;54,6666666666667;60;76,6467065868264;77,4834437086093;76,2820512820513;83,1818181818182;83,6283185840708;70,042194092827;78,3653846153846;80,1932367149759;90,1315789473684;88,8888888888889;81,4814814814815;84,0909090909091;86,4406779661017
"Região Metropolitana do Alto Vale do Itajaí";"total";1,86915887850467;3,88349514563107;1,14942528735632;1,8348623853211;7,69230769230769;5,04201680672269;3,84615384615385;0,925925925925926;4,03225806451613;10,0840336134454;4,3859649122807;2,36220472440945;3,7037037037037;5,12820512820513;8,57142857142857;14,1592920353982;6;7,21649484536082;4,70588235294118;5,76923076923077;8,04597701149425
"Região Metropolitana do Agreste";"total";68,1318681318681;60,5263157894737;63,0434782608696;74,7252747252747;70,5035971223022;72,0779220779221;70,5882352941177;72,9468599033817;83,8323353293413;87,3362445414847;92,2480620155039;84,9802371541502;93,609022556391;88,8030888030888;89,1050583657588;90,2127659574468;97,4137931034483;97,2972972972973;96,3350785340314;97,0149253731343;97,2972972972973
"Região Metropolitana de Umuarama";"total";16,9230769230769;22,3684210526316;16,1764705882353;17,0731707317073;23,8636363636364;10,5882352941176;21,1111111111111;13,6752136752137;8,33333333333333;7,92079207920792;20,1754385964912;14,5454545454545;13,8686131386861;20,6106870229008;38,5416666666667;41,1764705882353;30;39,5348837209302;25,8823529411765;35,0515463917526;35,7142857142857
"Região Metropolitana de Tubarão";"total";4,93827160493827;7,31707317073171;4,62962962962963;6,55737704918033;8,28025477707006;11,1888111888112;6,10687022900763;2,68456375838926;5,71428571428571;6,48148148148148;7,8740157480315;5,07246376811594;6,61764705882353;7,84313725490196;7,77777777777778;10,2564102564103;3,73831775700935;13,1868131868132;6,97674418604651;6,25;10,6666666666667
"Região Metropolitana de Toledo";"total";15,7894736842105;12,6436781609195;21,5909090909091;18,0952380952381;11;13,265306122449;19,6581196581197;21,830985915493;15,625;8,69565217391304;18,75;18,1818181818182;21,7687074829932;22,7642276422764;30,1470588235294;29,9145299145299;29,0322580645161;33,0275229357798;16,4948453608247;21,8390804597701;25,8064516129032
"Região Metropolitana de Sousa";"total";100;0;50;80;50;33,3333333333333;41,1764705882353;52,3809523809524;45,4545454545455;63,6363636363636;69,2307692307692;69,5652173913043;80;73,3333333333333;92;89,1891891891892;83,8709677419355;87,5;86,2068965517241;96,1538461538462;84,6153846153846
"Região Metropolitana de Sorocaba";"total";12,2448979591837;11,4795918367347;15,2505446623094;13,0733944954128;12,9840546697039;12,1052631578947;15,2505446623094;14,0740740740741;13,2924335378323;11,8055555555556;17,910447761194;21,2301587301587;19,1142191142191;17,2962226640159;17,5398633257403;16,497461928934;17,7650429799427;20,7547169811321;20,9549071618037;20,1117318435754;22,0670391061453
"Região Metropolitana de Sobral";"total";14,7368421052632;11,1111111111111;33,9805825242718;45,6310679611651;37,7777777777778;46,0431654676259;69,1056910569106;61,038961038961;68,4210526315789;68,6567164179104;63,9423076923077;81,1827956989247;73,7556561085973;75,2032520325203;81,4589665653495;85,5737704918033;85,1973684210526;81,9188191881919;82,2299651567944;75,2808988764045;85,9106529209622
"Região Metropolitana de São Paulo";"total";28,7164179104478;28,5818981311836;30,8580858085809;28,500191791331;28,2324058919804;31,3664596273292;33,4124159746936;33,7161911819192;33,3333333333333;33,2518337408313;37,710992177851;37,4900398406375;38,9264581572274;40,2219140083218;42,9918559794256;40,2657128257537;41,3116591928251;43,2249322493225;48,7130600571973;46,5800273597811;48,9032258064516
"Região Metropolitana de Santarém";"total";87,5;70;73,6842105263158;82,9268292682927;88,3720930232558;93,9393939393939;61,5384615384615;77,5;84,7457627118644;89,4736842105263;78,5714285714286;80,4878048780488;60;100;77,7777777777778;33,3333333333333;88,4615384615385;92,5373134328358;94,4444444444444;97,7011494252874;96,7741935483871
"Região Metropolitana de Salvador";"total";85,1063829787234;71,0900473933649;78,5714285714286;77,7777777777778;82,3204419889503;77,3553719008264;82,5127334465195;78,1746031746032;83,3333333333333;81,6964285714286;85,0819672131148;80,5263157894737;86,084142394822;86,6290018832392;84,7985347985348;81,6279069767442;85,0415512465374;80,327868852459;78,6561264822134;85,5595667870036;86,5671641791045
"Região Metropolitana de Ribeirão Preto";"total";16,4233576642336;19,8473282442748;17,4342105263158;14,4927536231884;18,3150183150183;18,1159420289855;22,3048327137546;13,9622641509434;15,1394422310757;19,1637630662021;19,2878338278932;19,5512820512821;18,7074829931973;27,1739130434783;19,8697068403909;25,1824817518248;25,2066115702479;25,4752851711027;28,0334728033473;28,3783783783784;33,3333333333333
