NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana do Vale do Rio Cuiabá;total;253;234;324;229;247;261;258;263;304;335;339;347;306;350;372;308;302;325;312;238;276
Região Metropolitana do Vale do Piancó;total;8;6;12;4;4;9;11;2;12;13;16;19;22;27;21;30;26;17;24;16;22
Região Metropolitana do Vale do Paraíba e Litoral Norte;total;526;462;493;479;477;447;451;508;503;428;439;479;470;378;392;343;332;302;302;302;296
Região Metropolitana do Vale do Paraíba;total;28;21;16;15;13;15;19;24;15;28;29;24;27;31;20;31;18;20;21;25;26
Região Metropolitana do Vale do Mamanguape;total;3;5;3;3;11;17;18;26;20;25;20;15;21;26;16;24;32;28;24;17;19
Região Metropolitana do Vale do Itajaí;total;172;154;165;171;202;246;221;225;196;229;258;257;215;212;225;179;157;171;149;174;137
Região Metropolitana do Vale do Aço;total;88;86;67;74;94;88;92;73;107;116;143;161;125;119;136;136;124;163;116;106;107
Região Metropolitana do Sul do Estado;total;8;11;4;6;6;9;7;12;5;14;12;7;18;12;20;28;4;15;16;14;9
Região Metropolitana do Sudoeste Maranhense;total;43;65;55;58;90;113;123;163;133;127;153;172;228;191;217;198;213;189;152;161;131
Região Metropolitana do Sertão;total;8;20;7;19;17;16;16;14;20;32;26;28;43;26;38;31;33;21;33;24;28
Região Metropolitana do São Francisco;total;17;12;14;24;25;16;13;22;9;15;21;24;29;19;34;16;18;26;13;25;18
Região Metropolitana do Rio de Janeiro;total;1672;1725;1825;1816;1876;1848;2060;1624;1580;1394;1899;1724;1957;1679;1915;1317;1484;1391;1333;898;1244
Região Metropolitana do Recife;total;680;625;682;656;684;669;637;665;672;740;871;796;722;650;754;747;712;664;628;567;565
Região Metropolitana do Norte/Nordeste Catarinense;total;283;339;339;345;343;353;378;343;351;371;337;360;392;334;383;351;272;263;251;257;274
Região Metropolitana do Médio Sertão;total;16;11;20;15;8;14;11;19;12;19;25;38;35;41;42;33;35;30;25;22;24
Região Metropolitana do Extremo Oeste;total;41;49;47;68;54;64;90;103;73;66;73;110;89;89;82;80;74;69;71;42;60
Região Metropolitana do Contestado;total;118;111;133;132;139;145;145;151;132;131;127;152;154;122;151;124;129;127;124;132;131
Região Metropolitana do Cariri;total;101;91;108;116;170;154;150;155;167;151;156;220;226;237;208;207;152;81;108;88;59
Região Metropolitana do Alto Vale do Itajaí;total;107;103;87;109;117;119;130;108;124;119;114;127;108;78;105;113;100;97;85;104;87
Região Metropolitana do Agreste;total;91;76;92;91;139;154;170;207;167;229;258;253;266;259;257;235;232;185;191;201;222
Região Metropolitana de Umuarama;total;65;76;68;82;88;85;90;117;108;101;114;110;137;131;96;119;110;86;85;97;84
Região Metropolitana de Tubarão;total;81;82;108;122;157;143;131;149;105;108;127;138;136;102;90;78;107;91;86;80;75
Região Metropolitana de Toledo;total;76;87;88;105;100;98;117;142;128;115;128;132;147;123;136;117;124;109;97;87;124
Região Metropolitana de Sousa;total;2;1;4;10;10;9;34;21;33;22;26;23;30;30;25;37;31;16;29;26;26
Região Metropolitana de Sorocaba;total;294;392;459;436;439;380;459;540;489;432;469;504;429;503;439;394;349;371;377;358;358
Região Metropolitana de Sobral;total;95;108;103;103;135;139;123;154;133;134;208;186;221;246;329;305;304;271;287;267;291
Região Metropolitana de São Paulo;total;1675;2729;1818;2607;2444;2576;2529;2699;2628;2454;2429;2510;2366;2163;2333;1957;1784;1476;1049;1462;1550
Região Metropolitana de Santarém;total;8;10;19;41;43;33;39;40;59;19;28;41;5;2;9;3;26;67;36;87;93
Região Metropolitana de Salvador;total;141;211;210;207;181;605;589;504;234;224;610;570;618;531;546;430;361;366;253;277;268
Região Metropolitana de Ribeirão Preto;total;274;262;304;276;273;276;269;265;251;287;337;312;294;276;307;274;242;263;239;222;246
Região Metropolitana de Porto Velho;total;121;86;130;126;127;105;192;174;182;196;266;252;276;219;211;190;143;132;132;111;122
Região Metropolitana de Porto Alegre;total;691;655;771;758;742;689;639;600;658;633;622;575;541;576;558;536;493;503;468;458;394
Região Metropolitana de Patos;total;21;19;17;19;35;31;27;19;30;61;57;52;51;48;57;56;63;58;67;41;47
Região Metropolitana de Palmeira dos Índios;total;6;3;4;5;5;3;2;4;2;3;5;7;9;7;10;12;12;6;6;3;5
Região Metropolitana de Palmas;total;100;96;118;112;118;123;115;152;126;156;175;203;157;140;178;196;182;169;148;172;178
Região Metropolitana de Natal;total;201;191;154;153;145;154;144;135;165;162;215;211;197;212;216;175;181;221;219;177;157
Região Metropolitana de Maringá;total;174;139;162;160;225;179;173;209;238;198;281;213;259;213;243;194;185;178;174;192;191
Região Metropolitana de Manaus;total;297;240;262;287;312;330;387;309;322;305;418;452;386;394;383;374;350;335;345;327;327
Região Metropolitana de Maceió;total;294;337;313;255;282;273;267;248;256;238;296;326;299;258;293;244;237;206;188;207;247
Região Metropolitana de Macapá;total;89;108;112;110;103;99;106;87;80;93;108;124;112;94;107;83;81;76;58;70;60
Região Metropolitana de Londrina;total;238;217;239;231;274;264;290;292;283;307;329;364;396;280;323;293;268;243;264;217;244
Região Metropolitana de Lages;total;77;82;90;58;74;95;96;98;92;68;110;106;129;124;136;127;105;100;90;105;118
Região Metropolitana de João Pessoa;total;191;211;247;216;210;240;219;224;259;275;305;250;285;279;250;267;278;248;214;242;219
