NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana do Vale do Rio Cuiabá;total;137;142;168;121;124;137;140;173;191;218;213;233;204;240;270;217;213;248;227;163;213
Região Metropolitana do Vale do Piancó;total;3;2;8;2;2;4;8;1;11;12;12;13;18;21;18;26;19;16;19;14;21
Região Metropolitana do Vale do Paraíba e Litoral Norte;total;74;72;82;69;80;83;78;112;108;87;69;76;115;76;85;77;67;61;77;88;82
Região Metropolitana do Vale do Paraíba;total;13;19;8;5;9;10;15;13;15;20;24;21;23;27;20;30;18;20;19;21;26
Região Metropolitana do Vale do Mamanguape;total;2;2;3;3;8;14;17;22;18;22;13;12;17;23;15;19;27;25;24;15;18
Região Metropolitana do Vale do Itajaí;total;7;1;1;3;5;12;6;13;2;14;16;19;14;11;18;16;13;18;9;14;30
Região Metropolitana do Vale do Aço;total;16;14;16;14;9;20;24;14;19;31;41;60;52;54;82;74;65;99;62;72;69
Região Metropolitana do Sul do Estado;total;6;9;2;3;6;7;6;10;3;14;9;6;16;9;18;26;3;14;16;9;7
Região Metropolitana do Sudoeste Maranhense;total;24;40;33;47;74;78;87;121;107;105;145;157;185;175;187;169;189;172;141;144;121
Região Metropolitana do Sertão;total;5;17;5;13;11;14;14;13;19;26;23;23;40;25;36;30;32;19;31;21;27
Região Metropolitana do São Francisco;total;14;10;12;20;17;12;9;19;7;13;21;21;27;16;31;16;17;25;13;25;17
Região Metropolitana do Rio de Janeiro;total;705;743;835;837;922;973;1050;853;813;746;1042;970;1089;943;1137;743;870;841;847;557;793
Região Metropolitana do Recife;total;538;533;577;533;596;570;587;592;567;617;709;656;621;523;586;571;560;528;453;420;406
Região Metropolitana do Norte/Nordeste Catarinense;total;16;10;18;10;22;20;23;14;13;35;34;36;35;20;42;48;34;33;36;40;31
Região Metropolitana do Médio Sertão;total;10;9;14;14;5;11;11;12;11;17;23;34;33;37;36;30;34;30;25;22;24
Região Metropolitana do Extremo Oeste;total;9;5;3;3;0;4;4;6;12;5;8;14;15;13;8;9;8;18;5;5;11
Região Metropolitana do Contestado;total;7;11;7;17;9;9;6;7;7;12;13;18;21;19;20;10;11;27;14;20;25
Região Metropolitana do Cariri;total;61;61;40;36;88;101;82;93;128;117;119;183;189;166;163;166;137;72;88;74;51
Região Metropolitana do Alto Vale do Itajaí;total;2;4;1;2;9;6;5;1;5;12;5;3;4;4;9;16;6;7;4;6;7
Região Metropolitana do Agreste;total;62;46;58;68;98;111;120;151;140;200;238;215;249;230;229;212;226;180;184;195;216
Região Metropolitana de Umuarama;total;11;17;11;14;21;9;19;16;9;8;23;16;19;27;37;49;33;34;22;34;30
