NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana do Vale do Rio Cuiabá;Total;16,39175578;16,66905355;19,4274005;13,77801007;13,68070557;14,85884101;14,9332059;19,24488842;20,56149016;23,24921667;22,55966396;24,46214771;21,23803148;24,63731815;27,48768653;21,9153844;21,33896495;24,65968638;21,9809163;15,65340481;20,29901497
Região Metropolitana do Vale do Piancó;Total;2,132196162;1,427449861;5,71632726;1,431444542;1,43645139;2,878484766;5,767969026;0,707523808;7,568460162;8,235310265;8,525088625;9,233479175;12,78263834;14,68079752;12,5747499;18,15186126;13,25630721;11,15643412;13,2521465;9,773055685;14,66203998
Região Metropolitana do Vale do Paraíba e Litoral Norte;Total;3,714654311;3,544692168;3,973334083;3,290400757;3,692058336;3,763407707;3,476265795;5,196046365;4,830282652;3,851336635;3,046903772;3,32527101;4,987513867;3,157805076;3,497378201;3,138518301;2,706109628;2,442093362;3,045470456;3,447451824;3,182920912
Região Metropolitana do Vale do Paraíba;Total;7,769450521;11,39491787;4,777459944;2,974773917;5,313025768;5,878065411;8,779836812;7,466115323;8,368247522;11,08401685;14,31127013;12,50960559;13,68786898;15,47632695;11,44236765;17,13140358;10,26705758;11,39542702;10,98723168;12,13332794;15,01267416
Região Metropolitana do Vale do Mamanguape;Total;1,960054097;1,939506783;2,888615005;2,86535688;7,513712525;13,02907345;15,67933003;20,10601353;16,00782605;19,39778689;11,45919645;10,49639187;14,80604086;19,48871773;12,59985384;15,82779361;22,31515612;20,50709956;19,85407257;12,33238237;14,70768477
Região Metropolitana do Vale do Itajaí;Total;1,254109448;0,175249511;0,172246892;0,50765029;0,815949529;1,920436323;0,942142998;2,037601586;0,304400567;2,10020372;2,319744944;2,714894626;1,972903579;1,480566222;2,37872783;2,077034618;1,658472113;2,257724239;1,112385548;1,702309791;3,590586917
Região Metropolitana do Vale do Aço;Total;2,43449682;2,105234666;2,382001596;2,063332518;1,299063087;2,854211175;3,387108383;2,007197236;2,649361225;4,289517526;5,727056852;8,328336332;7,174383038;7,185972981;10,84149861;9,723472331;8,49111568;12,86140215;8,091470155;9,34289596;8,904501161
Região Metropolitana do Sul do Estado;Total;17,91740078;25,44241533;5,48185506;7,921210361;14,58044762;16,50709805;13,63326517;23,2563548;6,66948267;30,35427779;19,60271824;12,80218491;33,47980749;18,12834871;35,63086425;50,60728745;5,745035332;26,39268546;28,88347324;15,92384862;12,14792704
Região Metropolitana do Sudoeste Maranhense;Total;7,379415735;12,26907304;10,09334818;14,34041709;22,46372412;23,6116787;26,26296168;37,24704332;32,01024328;31,3527362;41,92290234;45,18479719;53,00965922;49,90333012;53,17742206;47,9336077;53,47623844;48,55698247;39,23150763;39,97867804;33,52116266
Região Metropolitana do Sertão;Total;3,495867884;11,99252231;3,470583336;8,95261313;7,452221101;9,40020009;9,317803661;8,643099815;12,2687502;16,65716354;15,14463123;15,0660614;26,07205011;15,64915839;22,3880597;18,57688664;19,73615231;11,67463409;19,34477379;13,0631135;16,7437707
Região Metropolitana do São Francisco;Total;11,92402691;8,456945689;10,08666123;16,70941492;14,02524544;9,831955494;7,323980339;15,60856993;5,586681352;10,31770598;16,86042777;16,7861682;21,51428708;12,25039814;23,6413831;12,15703855;12,87225423;18,86835174;9,963518195;19,10891316;12,96018175
Região Metropolitana do Rio de Janeiro;Total;6,264424838;6,536610694;7,267853657;7,216770844;7,795801411;8,139842664;8,692060895;7,135693963;6,661463678;6,069348901;8,512064217;7,875181779;8,789049732;7,559045524;9,075754533;5,90674263;6,889264341;6,634721129;6,512664326;4,261782068;6,038872673
Região Metropolitana do Recife;Total;16,11953625;15,73781567;16,84463004;15,37700788;16,78018159;15,83693624;16,09893467;16,18230017;15,19406194;16,37081569;19,2112443;17,6455699;16,58718529;13,55154341;15,07488177;14,58747465;14,21155318;13,31417236;11,39504821;10,5004804;10,09015278
Região Metropolitana do Norte/Nordeste Catarinense;Total;1,55346442;0,950187377;1,681647342;0,918158138;1,949455925;1,738660241;1,962549437;1,220705254;1,102203984;2,93189542;2,780662943;2,908996881;2,795859891;1,533655299;3,171790997;3,571186772;2,492935461;2,38533065;2,571193491;2,817857893;2,154931213
Região Metropolitana do Médio Sertão;Total;7,229298903;6,425817507;9,871668312;9,746181585;3,390359175;7,353088631;7,251057995;8,712698758;7,762714974;11,97444513;16,01359066;23,59931146;22,84733136;24,63710214;23,89835234;19,8608417;22,45113576;19,7623251;16,71994757;14,66304978;15,96615176
Região Metropolitana do Extremo Oeste;Total;2,785110182;1,562954234;0,943598002;0,950817386;0;1,300119611;1,311939966;1,843351951;3,574098508;1,484789813;2,424242424;4,235326861;4,530832314;3,852297006;2,365995907;2,656567773;2,356871606;5,292794448;1,472832138;1,470735309;3,231074714
Região Metropolitana do Contestado;Total;1,493744412;2,320205191;1,459872282;3,508214381;1,817271347;1,795855166;1,183396941;1,467090027;1,420685176;2,42540858;2,598451323;3,580251334;4,157477322;3,664741713;3,833540025;1,904986875;2,082781081;5,081731176;2,627750927;3,733042654;4,640957002
