"cod_uf";"uf";"municipio_codigo";"COD_MUN";"municipio";"capitais";"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
11;"RO";1100015;"110001";"Alta Floresta D'Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;41;13;0;0;3;1;4;15;2;5;7;1;0;2;1;6
11;"RO";1100023;"110002";"Ariquemes";"Não";"-";"Total";0;0;0;0;0;0;0;0;1;0;43;203;177;40;58;97;84;60;48;46;94;130;134;86;103
11;"RO";1100031;"110003";"Cabixi";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
11;"RO";1100049;"110004";"Cacoal";"Não";"-";"Total";0;0;0;0;0;0;0;0;71;51;57;9;21;465;291;286;247;399;259;79;63;4;67;183;43
11;"RO";1100056;"110005";"Cerejeiras";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;4;1;8;4;6;2;1;0;0;1;0;0;0;1;2;1
11;"RO";1100064;"110006";"Colorado do Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;1;2;1;0;1;3;2;4;7
11;"RO";1100072;"110007";"Corumbiara";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;"RO";1100080;"110008";"Costa Marques";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
11;"RO";1100098;"110009";"Espigão D'Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;1;0;0;22;9;15;27;18;3;8;17;38;46;44;42;36;46
11;"RO";1100106;"110010";"Guajará-Mirim";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;3;0;23;40;17;0;1;4;5;3;0;5;4;8;8;6
11;"RO";1100114;"110011";"Jaru";"Não";"-";"Total";0;0;0;0;0;0;0;0;13;7;8;19;25;33;12;23;23;11;10;22;19;21;8;10;21
11;"RO";1100122;"110012";"Ji-Paraná";"Não";"-";"Total";0;0;0;0;0;0;0;0;313;378;423;485;373;355;336;293;363;328;317;258;218;174;158;143;231
11;"RO";1100130;"110013";"Machadinho D'Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;3;85;171
11;"RO";1100148;"110014";"Nova Brasilândia D'Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;26;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;2
11;"RO";1100155;"110015";"Ouro Preto do Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;3;19;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
11;"RO";1100189;"110018";"Pimenta Bueno";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
11;"RO";1100205;"110020";"Porto Velho";"Sim";"Região Metropolitana de Porto Velho";"Total";0;0;0;0;0;0;0;0;204;736;1203;705;670;1041;692;452;780;1033;1231;1062;1746;2313;1852;1529;624
11;"RO";1100254;"110025";"Presidente Médici";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;1;1;1;2;5;4;2;1;8;16
11;"RO";1100262;"110026";"Rio Crespo";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
11;"RO";1100288;"110028";"Rolim de Moura";"Não";"-";"Total";0;0;0;0;0;0;0;0;10;67;87;97;148;111;171;284;53;139;98;135;152;104;108;127;107
11;"RO";1100296;"110029";"Santa Luzia D'Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;3;12;8;15;9;11;14;5;23;17
11;"RO";1100304;"110030";"Vilhena";"Não";"-";"Total";0;0;0;0;0;0;0;0;161;259;240;183;311;383;581;734;622;632;639;580;475;561;477;416;522
11;"RO";1100320;"110032";"São Miguel do Guaporé";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;3;12;1;0;1;1;0;0;0;0;0;1;0;0;4;7
11;"RO";1100338;"110033";"Nova Mamoré";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;5;4;5;7;9;12;4;4;8;5;5;7;4;6;9;8
11;"RO";1100346;"110034";"Alvorada D'Oeste";"Não";"-";"Total";0;0;0;0;0;0;0;0;3;5;12;10;17;5;8;5;4;2;6;10;5;2;0;1;0
11;"RO";1100379;"110037";"Alto Alegre dos Parecis";"Não";"-";"Total";0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0
