"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Área de Expansão Metropolitana";"Total";0;0;0;0;0;0;0;0;2,8411028024638;0,565367828309098;1,74112894800989;4,6461654615675;3,48693271963318;6,04741170778907;14,8349203035115;14,2777124908019;13,1001506517325;9,27451472465602;12,536469730124;11,4066706209791;7,42038780088245;14,8520507254656;23,9630411885668;35,4464894342195;39,5075438053239
"Região Metropolitana do Vale do Rio Cuiabá";"Total";0;0;0;0;0;0;0;0;114,534021729285;144,983956209891;149,106933472406;174,235351752059;190,015704912478;268,332181942968;296,648442009528;241,979920203055;398,303234801457;357,109836020994;326,856939432403;287,555130481159;74,9578362171279;66,3506523966473;105,767361647618;55,611881658695;30,5604850072736
"Região Metropolitana do Vale do Piancó";"Total";0;0;0;0;0;0;0;0;0;0,686275855442854;1,42084810423342;0;1,42029314850585;0;0;2,79259404060432;2,09310113864702;1,39455426559286;0;0,698075406105368;0,698192379928365;0;0;0,724501180936925;2,86563742522477
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Total";0;0;0;0;0;0;0;0;65,2535406419088;79,018803376427;72,9049003927415;69,3056484103454;59,8501664094844;68,8069106071088;72,827757826721;61,7921265581011;71,853269081405;82,8710370529618;92,273799659461;93,8255354323614;85,589519650655;92,1815715342076;98,0156226366602;105,587923126344;120,269428197725
"Região Metropolitana do Vale do Paraíba";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0,595124738145115;0;0;0;0;0;0;0;0;0;0;0;0
"Região Metropolitana do Vale do Mamanguape";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,822158824641744;0;0;0;0;0
"Região Metropolitana do Vale do Itajaí";"Total";0;0;0;0;0;0;0;0;40,3330751001858;116,861335549548;100,763921006885;81,8755063635701;72,4337456701813;73,2207295422762;48,499617421274;47,7717962065559;54,6020049652104;114,642219694129;56,3608677596061;24,8050855289077;28,6050091081222;34,537143342111;33,9789330615019;38,9038129199909;38,9546240373605
"Região Metropolitana do Vale do Aço";"Total";0;0;0;0;0;0;0;0;162,683046245605;230,149343799072;271,658511745301;249,522133293539;251,122325296984;218,561388744089;230,364058226072;212,203666121921;242,000702516807;203,937659136245;141,360503713245;135,203005404102;137,749284341634;167,801835530456;177,183630237596;219,414552360096;227,764611047318
"Região Metropolitana do São Francisco";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5287130529164;9,14836358646347;2,28129942815428;0,833506980620963;0;4,88539673492652
"Região Metropolitana do Sul do Estado";"Total";0;0;0;0;0;0;0;0;17,785287121229;23,8497896882182;23,9588778532845;40,5402522030426;31,3873195229127;60,4278290295291;45,5283265370759;27,2500778573653;53,6203297650281;41,4742200018852;66,7930318620814;199,932765972505;242,95854086042;109,017817599564;228,663662653844;114,801409506195;95,5138798344426
"Região Metropolitana do Sudoeste Maranhense";"Total";0;0;0;0;0;0;0;0;0;221,778731903052;335,521305530372;46,3033531105212;97,2555954053148;140,964633131774;99,9155208657848;268,772961467972;305,257756265343;320,500438739301;256,348140757438;307,908619261455;239,985782639898;239,752764248068;220,653009858072;224,932905099212;226,638701939005
"Região Metropolitana do Sertão";"Total";0;0;0;0;0;0;0;0;0,645723694830982;0;1,97538668194299;0;0;0;0;0;0;0;0;0;0;0;0;0;0,656594506930355
"Região Metropolitana do Rio de Janeiro";"Total";0;0;0;0;0;0;0;0;45,6306165131375;47,1147446207548;51,2521025901427;59,2018819898327;62,4030601711742;73,1536049352631;72,4463923835821;58,0418949434547;51,6457264705491;56,1387343066361;49,3716855190486;58,2953636860972;46,0873359585549;64,1420674396111;66,2459279424975;71,4626336889343;77,0138805093661
"Região Metropolitana do Planalto Norte";"Total";0;0;0;0;0;0;0;0;1,7412047395593;3,03278439935705;29,850091086675;2,18697785903616;1,30767386613779;23,8455151269987;11,86827905715;12,2365450747906;20,5834786078847;20,492917396814;20,8910448447169;17,06257386846;43,9418309648963;113,568316504574;105,291313042112;103,035354529577;103,731438891437
"Região Metropolitana do Médio Sertão";"Total";0;0;0;0;0;0;0;0;0;1,4087582500405;0;22,2111166638903;63,695590465047;121,187907843921;180,565328801498;133,729667463307;78,5789751716852;36,2309293562752;32,7710972298391;41,3231402920613;23,9492276374087;77,6526338844237;92,0383329117837;81,9581041284658;50,130476582887
"Região Metropolitana do Extremo Oeste";"Total";0;0;0;0;0;0;0;0;4,76546467748229;9,79961276681673;6,06060606060606;42,3532686135053;121,426306012414;115,272579646241;130,129774875489;123,973162762004;93,3910374064985;135,554346707441;132,554892453797;121,482736508945;134,236467671629;116,16071245237;131,438943481254;126,105525103407;130,039729760324
"Região Metropolitana do Contestado";"Total";0;0;0;0;0;0;0;0;22,9339178438058;46,891232552217;48,9708133952165;51,1180329303562;58,7986078390225;55,3568879784899;68,4286894468393;65,3410498001669;45,4424963077972;44,7945192588201;81,2725822345268;94,6326312724449;84,6510557248989;72,5697445101819;80,1056207443889;72,9051613208957;76,3399817214128
