"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Área de Expansão Metropolitana";"Total";7;3;4;1;1;5;1;14;17;17;18;25;12;18;12;13;10;20;20;11;16;19;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Total";122;126;156;110;110;122;127;161;173;192;191;209;184;209;227;184;194;227;210;153;193;176;NA
"Região Metropolitana do Vale do Piancó";"Total";3;2;8;2;2;4;8;1;11;12;12;13;18;21;18;26;19;16;19;14;21;27;NA
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Total";74;72;82;69;80;83;78;112;108;87;69;76;113;72;84;77;67;61;77;88;82;85;NA
"Região Metropolitana do Vale do Paraíba";"Total";13;19;8;5;9;10;15;13;15;20;24;21;23;27;20;30;18;20;19;21;26;16;NA
"Região Metropolitana do Vale do Mamanguape";"Total";2;2;3;3;8;14;17;22;18;22;13;12;17;23;15;19;27;25;24;15;18;24;NA
"Região Metropolitana do Vale do Itajaí";"Total";7;1;1;3;5;12;6;13;2;14;16;19;14;11;18;16;13;18;9;14;30;32;NA
"Região Metropolitana do Vale do Aço";"Total";10;10;7;12;6;11;19;6;8;6;12;36;28;27;31;31;52;63;33;48;38;36;NA
"Região Metropolitana do São Francisco";"Total";14;10;12;20;17;12;9;19;7;13;21;21;27;16;31;16;17;25;13;25;17;12;NA
"Região Metropolitana do Sul do Estado";"Total";6;9;2;3;6;7;6;10;3;14;9;6;16;9;18;26;3;14;16;9;7;14;NA
"Região Metropolitana do Sudoeste Maranhense";"Total";40;61;94;93;119;146;146;177;173;177;231;236;252;249;277;259;271;242;215;209;209;187;NA
"Região Metropolitana do Sertão";"Total";5;17;5;13;11;14;14;13;19;26;23;23;40;25;36;30;32;19;31;21;27;28;NA
"Região Metropolitana do Rio de Janeiro";"Total";705;743;835;837;922;973;1050;853;813;746;1042;966;1088;915;1116;743;870;841;847;557;793;860;NA
"Região Metropolitana do Planalto Norte";"Total";6;5;6;3;5;5;1;3;1;4;3;5;4;3;1;2;2;1;6;2;6;1;NA
"Região Metropolitana do Médio Sertão";"Total";10;9;14;14;5;11;11;12;11;17;23;34;33;37;36;30;34;30;25;22;24;32;NA
"Região Metropolitana do Extremo Oeste";"Total";9;5;3;3;NA;4;4;6;12;5;8;14;15;13;8;9;8;18;5;5;11;13;NA
"Região Metropolitana do Contestado";"Total";7;11;7;17;9;9;6;7;7;12;13;18;20;19;20;10;11;27;14;20;25;21;NA
"Região Metropolitana do Cariri";"Total";61;61;40;36;88;101;82;93;128;117;119;183;189;165;163;166;137;72;88;74;51;74;NA
"Região Metropolitana do Alto Vale do Itajaí";"Total";2;4;1;2;9;6;5;1;5;12;5;3;4;4;9;16;6;7;4;6;7;8;NA
