"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Área de Expansão Metropolitana";"Total";58,3333333333333;60;57,1428571428571;50;50;83,3333333333333;33,3333333333333;82,3529411764706;80,9523809523809;77,2727272727273;69,2307692307692;71,4285714285714;52,1739130434783;78,2608695652174;85,7142857142857;86,6666666666667;83,3333333333333;90,9090909090909;90,9090909090909;100;94,1176470588235;86,3636363636364;96,1538461538462;90,9090909090909;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Total";53,5087719298246;60;52,8813559322034;53,921568627451;50,6912442396313;55,2036199095023;54,7413793103448;65,983606557377;62,9090909090909;65,0847457627119;64,7457627118644;66,5605095541401;66,4259927797834;66,5605095541401;71,608832807571;68,4014869888476;69,5340501792115;76,4309764309764;73,943661971831;69,2307692307692;76,2845849802372;80;77,5590551181102;76,3157894736842;NA
"Região Metropolitana do Vale do Piancó";"Total";37,5;33,3333333333333;66,6666666666667;50;50;44,4444444444444;72,7272727272727;50;91,6666666666667;92,3076923076923;75;68,4210526315789;81,8181818181818;77,7777777777778;85,7142857142857;86,6666666666667;73,0769230769231;94,1176470588235;79,1666666666667;87,5;95,4545454545455;84,375;80;61,1111111111111;NA
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Total";14,0684410646388;15,5844155844156;16,632860040568;14,4050104384134;16,7714884696017;18,5682326621924;17,2949002217295;22,0472440944882;21,4711729622266;20,3271028037383;15,7175398633257;15,866388308977;24,1452991452991;19,2513368983957;21,4833759590793;22,4489795918367;20,1807228915663;20,1986754966887;25,4966887417219;29,1390728476821;27,7027027027027;28,7162162162162;26,9349845201238;30,1492537313433;NA
"Região Metropolitana do Vale do Paraíba";"Total";46,4285714285714;90,4761904761905;50;33,3333333333333;69,2307692307692;66,6666666666667;78,9473684210526;54,1666666666667;100;71,4285714285714;82,7586206896552;87,5;85,1851851851852;87,0967741935484;100;96,7741935483871;100;100;90,4761904761905;84;100;88,8888888888889;88,2352941176471;93,75;NA
"Região Metropolitana do Vale do Mamanguape";"Total";66,6666666666667;40;100;100;72,7272727272727;82,3529411764706;94,4444444444444;84,6153846153846;90;88;65;80;80,9523809523809;88,4615384615385;93,75;79,1666666666667;84,375;89,2857142857143;100;88,2352941176471;94,7368421052632;82,7586206896552;80;85;NA
"Região Metropolitana do Vale do Itajaí";"Total";4,06976744186047;0,649350649350649;0,606060606060606;1,75438596491228;2,47524752475248;4,8780487804878;2,71493212669683;5,77777777777778;1,02040816326531;6,11353711790393;6,2015503875969;7,39299610894942;6,51162790697674;5,18867924528302;8;8,93854748603352;8,28025477707006;10,5263157894737;6,04026845637584;8,04597701149425;21,8978102189781;23,1884057971014;16,4556962025316;13,9072847682119;NA
"Região Metropolitana do Vale do Aço";"Total";20,8333333333333;19,6078431372549;17,9487179487179;22,6415094339623;11,3207547169811;18,6440677966102;32,2033898305085;17,1428571428571;12,3076923076923;10,5263157894737;17,6470588235294;38,7096774193548;42,4242424242424;36,986301369863;54,3859649122807;50,8196721311475;59,7701149425287;64,2857142857143;62,2641509433962;72,7272727272727;56,7164179104478;57,1428571428571;53,5211267605634;62,5;NA
"Região Metropolitana do São Francisco";"Total";82,3529411764706;83,3333333333333;85,7142857142857;83,3333333333333;68;75;69,2307692307692;86,3636363636364;77,7777777777778;86,6666666666667;100;87,5;93,1034482758621;84,2105263157895;91,1764705882353;100;94,4444444444444;96,1538461538462;100;100;94,4444444444444;100;100;93,75;NA
"Região Metropolitana do Sul do Estado";"Total";75;81,8181818181818;50;50;100;77,7777777777778;85,7142857142857;83,3333333333333;60;100;75;85,7142857142857;88,8888888888889;75;90;92,8571428571429;75;93,3333333333333;100;64,2857142857143;77,7777777777778;93,3333333333333;85,7142857142857;78,9473684210526;NA
"Região Metropolitana do Sudoeste Maranhense";"Total";59,7014925373134;63,5416666666667;72,3076923076923;84,5454545454545;82,6388888888889;71,9211822660099;75,2577319587629;75;83,9805825242718;85,0961538461538;93,9024390243902;91,1196911196911;79,4952681388013;90,8759124087591;85,2307692307692;86,9127516778524;86,8589743589744;88,3211678832117;92,6724137931034;88,936170212766;90,4761904761905;86,5740740740741;90,0552486187845;86,3849765258216;NA
