"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Área de Expansão Metropolitana";"Total";6,88053668186119;2,87643965804885;4,02389041221883;1,14940547002063;1,14884426267175;3,44562233682107;1,7223561832587;9,93257534150531;11,932631770348;12,4380922228002;15,0897842160857;20,3269738943578;13,3665754252605;12,6445881162862;7,69218089811706;8,23714182161646;6,55007532586625;12,0023131730843;12,536469730124;6,27366884153853;9,70358404730783;12,5671198446247;14,4892807186683;17,9959100204499;0
"Região Metropolitana do Vale do Rio Cuiabá";"Total";30,4897618589126;27,4705149805875;37,9642415452347;25,8022083654807;26,4912951069235;26,4699189134158;27,2761474793078;30,0630708441193;32,7750842617621;34,8008682521706;34,4182671160876;36,2797748343147;31,7074399161184;35,3869404158304;35,3923809247348;29,7634195402935;30,6049580031965;32,3063116960814;30,0899094971807;23,201783072777;26,3393507818519;22,6312302748254;25,3203674443874;25,9067609828597;0
"Região Metropolitana do Vale do Piancó";"Total";5,68585643212509;4,28234958247092;8,57449088960343;2,86288908451964;2,87290278096989;6,4765907226436;7,9309574107587;1,41504761635229;8,25650199532132;8,9215861207571;11,3667848338673;13,4950849480084;15,6232246335644;18,8753110930902;14,6705415525625;20,9444553045324;18,1402098682742;11,8537112575393;16,7395534724111;11,1692064976859;15,360232358424;22,3457445322756;25,6477898933052;26,0820425137293;0
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Total";26,4041644286711;22,7451080786488;23,8884597903436;22,8420574256;22,0138978305927;20,2679909025286;20,0999470983654;23,567781728938;22,4965942034819;18,9468055154682;19,3853732722068;20,957958073583;20,2970129562599;15,5397249801079;16,0879397233039;13,9806724336601;13,4093790528536;12,0903638599007;11,9445724377013;11,8310278499262;11,4895681707909;11,3880405568136;12,8904910878018;13,1396561097048;0
"Região Metropolitana do Vale do Paraíba";"Total";16,7342011211915;12,5943829052243;9,55491988796856;8,92432175154688;7,67437055403052;8,81709811666784;11,1211266286597;13,7835975189524;8,36824752160403;15,5176235867879;17,2927847346452;14,2966921028647;16,0683679299181;17,7691161297719;11,4423676547151;17,7024503617581;10,2670575753773;11,3954270151388;12,1437823834197;14,4444380246942;15,0126741614555;10,3869124902623;11,651976038054;10,8579843509301;0
"Região Metropolitana do Vale do Mamanguape";"Total";2,94008114623964;4,84876695856244;2,88861500539208;2,86535688019943;10,3313547223683;15,8210177567658;16,6016435627127;23,7616523487479;17,7864733869892;22,0429396464312;17,629532993671;13,1204898316204;18,2898151857723;22,0307243871646;13,4398440978085;19,9930024491428;26,4475924426005;22,967951504811;19,8540725666352;13,9767000189097;15,5247783633615;23,5536820902675;20,6277434898842;16,1732478307631;0
"Região Metropolitana do Vale do Itajaí";"Total";30,8152607203963;26,988424769766;28,4207371477982;28,936066522494;32,9643609564887;39,3689446242186;34,702267110102;35,2661812995196;29,8312555457978;34,3533322732305;37,4058872226999;36,7225220513744;30,2981620993949;28,5345490127988;29,7340978740781;23,2368247852541;20,0292401391075;21,4483802710022;18,4161607372397;21,1572788334801;16,3970135891746;16,2666408915062;18,7715784046059;17,4316787861087;0
"Região Metropolitana do Vale do Aço";"Total";12,0126132439061;12,534500598461;9,45796178498415;12,6710290070934;12,304949143413;13,4824168717594;13,2751327513275;7,98979132947845;14,4656607468732;12,5536005708585;15,0552394447273;20,4094620899728;14,3622820360493;15,2825492129487;11,8295056926902;12,5552120595899;17,7671401847783;19,8666904526362;10,7336772160487;13,2591357454246;13,3562981923147;12,4664099509655;15,4736011646609;15,3975124463226;0
"Região Metropolitana do São Francisco";"Total";14,4791755387105;10,1483348273937;11,7677714362565;20,0512979038039;20,6253609438165;13,1092739920197;10,5790827121513;18,0730809674027;7,18287602355983;11,9050453582228;16,8604277731389;19,1841922256061;23,1079379751072;14,5473477888031;25,9292588807712;12,1570385454103;13,6294456601573;19,6230858057164;9,96351819491707;19,108913161455;13,7225453796952;9,12519771261711;12,5026047093144;13,1802230752755;0
"Região Metropolitana do Sul do Estado";"Total";23,8898677098576;31,0962854073613;10,9637101195044;15,8424207218863;14,5804476197419;21,2234117813517;15,9054760281754;27,9076257587386;11,1158044507681;30,354277785005;26,1369576581286;14,9358823905947;37,6647834274953;24,1711316118116;39,5898491626747;54,5001557147306;7,66004710928972;28,2778772740126;28,8834732376568;24,7704311824342;15,618763341027;25,5510509998978;11,7694532248302;30,294816397468;0
