UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;7898;1797;0;453;41;888;73;0;5;11;3901;478;49;0;107;69;0;2;0;0;1;23
AC;12;00054;Assis Brasil;2272;406;0;31;0;204;25;0;4;3;1420;141;4;0;28;0;0;0;0;0;0;6
AC;12;00104;Brasiléia;13040;2910;0;359;381;1818;136;0;8;11;5490;1086;22;0;210;554;0;0;0;0;3;52
AC;12;00138;Bujari;2912;781;0;155;49;353;21;0;9;6;1324;94;18;0;46;51;0;0;0;0;1;4
AC;12;00179;Capixaba;2935;816;0;93;7;332;25;0;9;3;1424;155;19;0;38;11;0;0;0;0;0;3
AC;12;00203;Cruzeiro do Sul;41087;8401;0;795;145;3786;425;1;43;62;18551;8243;86;0;94;275;0;1;0;0;9;170
AC;12;00252;Epitaciolândia;8251;2268;0;322;108;1216;135;0;7;11;2972;853;19;0;139;176;0;0;0;0;3;22
AC;12;00302;Feijó;5118;744;0;121;7;387;46;0;56;4;2835;836;9;0;30;11;0;1;0;0;17;14
AC;12;00328;Jordão;205;20;0;6;0;24;2;0;0;0;108;43;1;0;1;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;4463;784;0;101;4;360;31;0;2;4;2486;654;18;0;3;7;0;0;0;0;0;9
AC;12;00344;Manoel Urbano;1606;273;0;60;5;202;12;0;2;1;826;176;5;0;32;7;0;0;0;0;0;5
AC;12;00351;Marechal Thaumaturgo;486;13;0;14;0;38;1;0;0;0;340;69;9;0;0;0;0;0;0;0;1;1
AC;12;00385;Plácido de Castro;5810;1573;0;155;15;617;57;0;10;7;2700;499;31;0;99;25;3;1;0;0;6;12
AC;12;00807;Porto Acre;4759;1035;0;176;6;560;48;0;11;4;2617;195;44;0;44;11;0;2;0;0;0;6
AC;12;00393;Porto Walter;485;12;0;12;0;53;0;0;1;0;323;77;6;0;0;0;0;0;0;0;0;1
AC;12;00401;Rio Branco;215379;76056;0;4699;627;19694;4039;8;772;370;83887;17372;1005;0;4009;1053;55;45;0;3;137;1548
AC;12;00427;Rodrigues Alves;2160;277;0;32;1;147;11;0;2;2;1270;400;11;0;1;0;0;0;0;0;0;6
AC;12;00435;Santa Rosa do Purus;256;18;0;7;1;27;0;0;1;0;170;25;3;0;4;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;11183;1842;0;141;14;1146;80;0;35;6;5679;2065;11;0;95;30;0;1;0;0;2;36
AC;12;00450;Senador Guiomard;8321;2593;0;358;73;885;84;0;29;13;3357;576;41;0;191;88;1;1;0;0;3;28
AC;12;00609;Tarauacá;6246;758;0;170;20;487;50;0;9;18;3025;1587;22;0;31;38;0;0;0;0;8;23
AC;12;00708;Xapuri;5401;905;0;95;7;525;38;1;6;4;3329;401;7;0;57;12;1;0;0;0;3;10
AL;27;00102;Água Branca;5517;1297;0;158;10;599;43;0;17;102;3005;181;34;0;37;18;0;8;0;0;0;8
AL;27;00201;Anadia;3549;1274;0;63;0;203;108;0;8;35;1468;226;53;0;80;11;0;1;0;0;0;19
AL;27;00300;Arapiraca;137032;42071;0;3432;590;8497;2636;1;1512;508;53923;17828;676;0;2766;1160;10;12;0;0;37;1373
AL;27;00409;Atalaia;8840;4482;0;252;16;346;217;0;134;56;2309;249;189;0;464;63;0;10;0;0;2;51
AL;27;00508;Barra de Santo Antônio;3111;1253;0;38;6;151;57;0;237;13;1075;103;41;0;90;29;0;0;0;0;0;18
AL;27;00607;Barra de São Miguel;2698;1118;0;28;2;179;85;0;268;5;785;71;19;0;84;12;0;1;0;0;2;39
