"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";194769,124612171;1391636;14;"belem"
"DR_0_meio";13164,4786197543;129521;10,16;"belem"
"DR_meio_1";13282,4462441904;103778;12,8;"belem"
"DR_1_3";17715,974316717;90673;19,54;"belem"
"DR_3_mais";10069,7747529877;45205;22,28;"belem"
"Negros_Mulher";69187,4059492788;519057;13,33;"belem"
"Negros_Homem";61803,8174409506;480772;12,86;"belem"
"Renda_Mulher_0_1";62131,7806868104;481080;12,92;"belem"
"Renda_Homem_0_1";40312,4965951417;335696;12,01;"belem"
"Renda_Mulher_2SM";74523,789766345;553433;13,47;"belem"
"Pessoa_0_1";102444,277281952;816776;12,54;"belem"
"Pessoa_0_meio";70976,6287337714;543582;13,06;"belem"
"Pessoa_meio_1";31467,6485481808;273194;11,52;"belem"
"Pessoa_1_3";38451,7963103612;239644;16,05;"belem"
"Pessoa_3_mais";28975,0682318895;131763;21,99;"belem"
"homem_branco";27809,6541350057;172509;16,12;"belem"
"mulher_branca";34165,6901408617;207481;16,47;"belem"
"Negros";130991,223390229;999829;13,1;"belem"
"brancas";61975,3442758674;379990;16,31;"belem"
