"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";393761,347638942;2367229;16,63;"belo horizonte"
"DR_0_meio";14172,7958342684;115789;12,24;"belo horizonte"
"DR_meio_1";25176,0499788979;186922;13,47;"belo horizonte"
"DR_1_3";53439,2560096548;270358;19,77;"belo horizonte"
"DR_3_mais";41701,6501903878;188555;22,12;"belo horizonte"
"Negros_Mulher";96325,6746315001;641967;15;"belo horizonte"
"Negros_Homem";86260,0230697118;591760;14,58;"belo horizonte"
"Renda_Mulher_0_1";99314,8137595271;655548;15,15;"belo horizonte"
"Renda_Homem_0_1";59165,2145437137;395738;14,95;"belo horizonte"
"Renda_Mulher_2SM";137827,728764526;871125;15,82;"belo horizonte"
"Pessoa_0_1";158480,028303241;1051286;15,07;"belo horizonte"
"Pessoa_0_meio";102349,233720691;659222;15,53;"belo horizonte"
"Pessoa_meio_1";56130,7945825497;392064;14,32;"belo horizonte"
"Pessoa_1_3";106567,439487038;613962;17,36;"belo horizonte"
"Pessoa_3_mais";92386,3641763037;428125;21,58;"belo horizonte"
"homem_branco";94272,3853089015;507410;18,58;"belo horizonte"
"mulher_branca";114683,919860495;601053;19,08;"belo horizonte"
"Negros";182585,697701212;1233727;14,8;"belo horizonte"
"brancas";208956,305169396;1108463;18,85;"belo horizonte"
