"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";564672,363883077;1744129;32,38;"curitiba"
"DR_0_meio";15402,682181237;58639;26,27;"curitiba"
"DR_meio_1";27623,8764945547;118582;23,3;"curitiba"
"DR_1_3";79199,258332668;245436;32,27;"curitiba"
"DR_3_mais";82911,3149395896;153297;54,09;"curitiba"
"Negros_Mulher";40062,224284632;169557;23,63;"curitiba"
"Negros_Homem";40721,578828704;174525;23,33;"curitiba"
"Renda_Mulher_0_1";119241,851050367;403735;29,53;"curitiba"
"Renda_Homem_0_1";65514,4478307785;228099;28,72;"curitiba"
"Renda_Mulher_2SM";174164,015143463;593856;29,33;"curitiba"
"Pessoa_0_1";184756,298881145;631834;29,24;"curitiba"
"Pessoa_0_meio";143197,714749834;470629;30,43;"curitiba"
"Pessoa_meio_1";41558,5841313111;161205;25,78;"curitiba"
"Pessoa_1_3";155843,992054247;534987;29,13;"curitiba"
"Pessoa_3_mais";168821,023454121;364466;46,32;"curitiba"
"homem_branco";218238,887945271;647794;33,69;"curitiba"
"mulher_branca";256664,113714438;733480;34,99;"curitiba"
"Negros";80783,8031133359;344082;23,48;"curitiba"
"brancas";474903,00165971;1381274;34,38;"curitiba"
