"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";251307,726822709;2556511;9,83;"distrito federal"
"DR_0_meio";8803,22302206044;139576;6,31;"distrito federal"
"DR_meio_1";13482,7732100661;171574;7,86;"distrito federal"
"DR_1_3";23376,216379137;235310;9,93;"distrito federal"
"DR_3_mais";36925,4469305439;228372;16,17;"distrito federal"
"Negros_Mulher";63803,5730425612;735051;8,68;"distrito federal"
"Negros_Homem";57757,2000116483;702556;8,22;"distrito federal"
"Renda_Mulher_0_1";59269,4631280429;670617;8,84;"distrito federal"
"Renda_Homem_0_1";34425,8064292395;437959;7,86;"distrito federal"
"Renda_Mulher_2SM";77469,458807965;863808;8,97;"distrito federal"
"Pessoa_0_1";93695,2695572824;1108576;8,45;"distrito federal"
"Pessoa_0_meio";69990,8852200351;793540;8,82;"distrito federal"
"Pessoa_meio_1";23704,3843372473;315036;7,52;"distrito federal"
"Pessoa_1_3";49343,872594167;551126;8,95;"distrito federal"
"Pessoa_3_mais";74311,3608744347;520105;14,29;"distrito federal"
"homem_branco";57297,5491730652;505291;11,34;"distrito federal"
"mulher_branca";68448,821909465;578846;11,83;"distrito federal"
"Negros";121560,773054209;1437607;8,46;"distrito federal"
"brancas";125746,37108253;1084137;11,6;"distrito federal"
