"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";275709,164803113;2444849;11,28;"fortaleza"
"DR_0_meio";21107,6508557192;251334;8,4;"fortaleza"
"DR_meio_1";22326,0031916579;207593;10,75;"fortaleza"
"DR_1_3";24767,7459634668;167849;14,76;"fortaleza"
"DR_3_mais";14936,7230626594;84307;17,72;"fortaleza"
"Negros_Mulher";83099,3076146137;789989;10,52;"fortaleza"
"Negros_Homem";73280,8784876761;722947;10,14;"fortaleza"
"Renda_Mulher_0_1";91371,1976153254;859532;10,63;"fortaleza"
"Renda_Homem_0_1";61277,3391145662;610736;10,03;"fortaleza"
"Renda_Mulher_2SM";110233,657796275;998548;11,04;"fortaleza"
"Pessoa_0_1";152648,536729892;1470268;10,38;"fortaleza"
"Pessoa_0_meio";92577,8090699181;903414;10,25;"fortaleza"
"Pessoa_meio_1";60070,7276599735;566854;10,6;"fortaleza"
"Pessoa_1_3";53230,6675888492;414516;12,84;"fortaleza"
"Pessoa_3_mais";37717,6457578473;220999;17,07;"fortaleza"
"homem_branco";51400,082259928;409561;12,55;"fortaleza"
"mulher_branca";64773,6530494135;491957;13,17;"fortaleza"
"Negros";156380,18610229;1512936;10,34;"fortaleza"
"brancas";116173,735309342;901518;12,89;"fortaleza"
