"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";0;0;NA;"goiania"
"DR_0_meio";0;0;NA;"goiania"
"DR_meio_1";0;0;NA;"goiania"
"DR_1_3";0;0;NA;"goiania"
"DR_3_mais";0;0;NA;"goiania"
"Negros_Mulher";0;0;NA;"goiania"
"Negros_Homem";0;0;NA;"goiania"
"Renda_Mulher_0_1";0;0;NA;"goiania"
"Renda_Homem_0_1";0;0;NA;"goiania"
"Renda_Mulher_2SM";0;0;NA;"goiania"
"Pessoa_0_1";0;0;NA;"goiania"
"Pessoa_0_meio";0;0;NA;"goiania"
"Pessoa_meio_1";0;0;NA;"goiania"
"Pessoa_1_3";0;0;NA;"goiania"
"Pessoa_3_mais";0;0;NA;"goiania"
"homem_branco";0;0;NA;"goiania"
"mulher_branca";0;0;NA;"goiania"
"Negros";0;0;NA;"goiania"
"brancas";0;0;NA;"goiania"
