"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";0;0;NA;"porto alegre"
"DR_0_meio";0;0;NA;"porto alegre"
"DR_meio_1";0;0;NA;"porto alegre"
"DR_1_3";0;0;NA;"porto alegre"
"DR_3_mais";0;0;NA;"porto alegre"
"Negros_Mulher";0;0;NA;"porto alegre"
"Negros_Homem";0;0;NA;"porto alegre"
"Renda_Mulher_0_1";0;0;NA;"porto alegre"
"Renda_Homem_0_1";0;0;NA;"porto alegre"
"Renda_Mulher_2SM";0;0;NA;"porto alegre"
"Pessoa_0_1";0;0;NA;"porto alegre"
"Pessoa_0_meio";0;0;NA;"porto alegre"
"Pessoa_meio_1";0;0;NA;"porto alegre"
"Pessoa_1_3";0;0;NA;"porto alegre"
"Pessoa_3_mais";0;0;NA;"porto alegre"
"homem_branco";0;0;NA;"porto alegre"
"mulher_branca";0;0;NA;"porto alegre"
"Negros";0;0;NA;"porto alegre"
"brancas";0;0;NA;"porto alegre"
