"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";265651,00164193;1530272;17,36;"recife"
"DR_0_meio";26827,3113103861;163773;16,38;"recife"
"DR_meio_1";21879,4782311952;119220;18,35;"recife"
"DR_1_3";22820,6152622606;107145;21,3;"recife"
"DR_3_mais";11940,32351295;80785;14,78;"recife"
"Negros_Mulher";80115,9821043149;464595;17,24;"recife"
"Negros_Homem";70478,2372248932;417163;16,89;"recife"
"Renda_Mulher_0_1";91065,446805237;529432;17,2;"recife"
"Renda_Homem_0_1";60711,3112136362;364909;16,64;"recife"
"Renda_Mulher_2SM";107421,96086807;613224;17,52;"recife"
"Pessoa_0_1";151776,758018873;894341;16,97;"recife"
"Pessoa_0_meio";98040,8834733111;585252;16,75;"recife"
"Pessoa_meio_1";53735,8745455621;309089;17,39;"recife"
"Pessoa_1_3";49065,6532009591;253338;19,37;"recife"
"Pessoa_3_mais";31367,4294702399;187200;16,76;"recife"
"homem_branco";50276,3137688848;284682;17,66;"recife"
"mulher_branca";62358,8170887759;351753;17,73;"recife"
"Negros";150594,219329208;881758;17,08;"recife"
"brancas";112635,130857661;636435;17,7;"recife"
