"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";2174338,39710138;6283486;34,6;"rio de janeiro"
"DR_0_meio";111540,447105846;397563;28,06;"rio de janeiro"
"DR_meio_1";147468,522108435;507158;29,08;"rio de janeiro"
"DR_1_3";255546,695032992;722972;35,35;"rio de janeiro"
"DR_3_mais";271064,644846921;518091;52,32;"rio de janeiro"
"Negros_Mulher";470408,12596354;1575873;29,85;"rio de janeiro"
"Negros_Homem";418271,686596617;1453001;28,79;"rio de janeiro"
"Renda_Mulher_0_1";555832,359412218;1756396;31,65;"rio de janeiro"
"Renda_Homem_0_1";332966,712054687;1089438;30,56;"rio de janeiro"
"Renda_Mulher_2SM";743216,877260881;2305456;32,24;"rio de janeiro"
"Pessoa_0_1";888799,071466904;2845834;31,23;"rio de janeiro"
"Pessoa_0_meio";631133,670869528;1981643;31,85;"rio de janeiro"
"Pessoa_meio_1";257665,400597376;864191;29,82;"rio de janeiro"
"Pessoa_1_3";530646,713851292;1589094;33,39;"rio de janeiro"
"Pessoa_3_mais";532428,399855398;1121943;47,46;"rio de janeiro"
"homem_branco";571579,483492231;1479501;38,63;"rio de janeiro"
"mulher_branca";700929,315180805;1753742;39,97;"rio de janeiro"
"Negros";888679,812560157;3028874;29,34;"rio de janeiro"
"brancas";1272508,79867304;3233243;39,36;"rio de janeiro"
