"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";160631,915347962;2664211;6,03;"salvador"
"DR_0_meio";14034,409294298;283437;4,95;"salvador"
"DR_meio_1";13293,1934764986;238891;5,56;"salvador"
"DR_1_3";16367,5638426107;219189;7,47;"salvador"
"DR_3_mais";10377,9491428174;118791;8,74;"salvador"
"Negros_Mulher";64940,6349265464;1123881;5,78;"salvador"
"Negros_Homem";57450,6943712362;1001982;5,73;"salvador"
"Renda_Mulher_0_1";51511,1727896634;920846;5,59;"salvador"
"Renda_Homem_0_1";34416,1353401744;623310;5,52;"salvador"
"Renda_Mulher_2SM";62288,7698874233;1080056;5,77;"salvador"
"Pessoa_0_1";85927,3081298379;1544156;5,56;"salvador"
"Pessoa_0_meio";54727,9636320227;983922;5,56;"salvador"
"Pessoa_meio_1";31199,3444978152;560234;5,57;"salvador"
"Pessoa_1_3";32893,8993740193;501929;6,55;"salvador"
"Pessoa_3_mais";24496,6233205093;285263;8,59;"salvador"
"homem_branco";16328,0168304421;227831;7,17;"salvador"
"mulher_branca";20548,6968748727;277741;7,4;"salvador"
"Negros";122391,329297783;2125863;5,76;"salvador"
"brancas";36876,7137053148;505572;7,29;"salvador"
