"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";1946106,55798651;11209673;17,36;"sao paulo"
"DR_0_meio";83534,6048355558;669801;12,47;"sao paulo"
"DR_meio_1";103165,430431503;827366;12,47;"sao paulo"
"DR_1_3";232664,830645563;1278658;18,2;"sao paulo"
"DR_3_mais";284446,278642984;800482;35,53;"sao paulo"
"Negros_Mulher";260727,016900802;2134498;12,21;"sao paulo"
"Negros_Homem";244174,078201777;2032759;12,01;"sao paulo"
"Renda_Mulher_0_1";433973,890964307;2921008;14,86;"sao paulo"
"Renda_Homem_0_1";253346,177025161;1756785;14,42;"sao paulo"
"Renda_Mulher_2SM";614699,512522856;4060513;15,14;"sao paulo"
"Pessoa_0_1";687320,067989468;4677793;14,69;"sao paulo"
"Pessoa_0_meio";539832,082757588;3559277;15,17;"sao paulo"
"Pessoa_meio_1";147487,98523188;1118516;13,19;"sao paulo"
"Pessoa_1_3";508289,705536856;3215241;15,81;"sao paulo"
"Pessoa_3_mais";560432,53984085;1887126;29,7;"sao paulo"
"homem_branco";628439,42806231;3172731;19,81;"sao paulo"
"mulher_branca";736908,255408869;3649616;20,19;"sao paulo"
"Negros";504901,095102579;4167257;12,12;"sao paulo"
"brancas";1365347,68347118;6822347;20,01;"sao paulo"
