"indicador";"total_entorno";"total";"resultado";"territorio"
"Pop";0;0;NA;"teresina"
"DR_0_meio";0;0;NA;"teresina"
"DR_meio_1";0;0;NA;"teresina"
"DR_1_3";0;0;NA;"teresina"
"DR_3_mais";0;0;NA;"teresina"
"Negros_Mulher";0;0;NA;"teresina"
"Negros_Homem";0;0;NA;"teresina"
"Renda_Mulher_0_1";0;0;NA;"teresina"
"Renda_Homem_0_1";0;0;NA;"teresina"
"Renda_Mulher_2SM";0;0;NA;"teresina"
"Pessoa_0_1";0;0;NA;"teresina"
"Pessoa_0_meio";0;0;NA;"teresina"
"Pessoa_meio_1";0;0;NA;"teresina"
"Pessoa_1_3";0;0;NA;"teresina"
"Pessoa_3_mais";0;0;NA;"teresina"
"homem_branco";0;0;NA;"teresina"
"mulher_branca";0;0;NA;"teresina"
"Negros";0;0;NA;"teresina"
"brancas";0;0;NA;"teresina"
