"cod_uf";"uf";"municipio_codigo";"COD_MUN";"municipio";"capitais";"NOME_CATMETROPOL";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"11";"RO";"1100205";"110020";"Porto Velho";"Sim";"Região Metropolitana de Porto Velho";"334661";"342264";"347844";"353961";"380884";"373917";"380974";"369345";"379185";"382829";"428527";"435732";"442701";"484992";"494013";"502748";"511219";"519436";"519531";"529544";"539354";"548952"
"12";"AC";"1200401";"120040";"Rio Branco";"Sim";"-";"253059";"261430";"267740";"274555";"286082";"305731";"314127";"290639";"301399";"305954";"336038";"342299";"348354";"357194";"363928";"370550";"377057";"383443";"401155";"407319";"413418";"419452"
"13";"AM";"1302603";"130260";"Manaus";"Sim";"Região Metropolitana de Manaus";"1405835";"1451958";"1488805";"1527314";"1592555";"1644690";"1688524";"1646602";"1709008";"1738641";"1802014";"1832424";"1861838";"1982177";"2020301";"2057711";"2094391";"2130264";"2145444";"2182763";"2219580";"2255903"
"14";"RR";"1400100";"140010";"Boa Vista";"Sim";"Região Metropolitana da Capital";"200568";"208514";"214541";"221027";"236319";"242179";"249655";"249853";"260930";"266901";"284313";"290741";"296959";"308996";"314900";"320714";"326419";"332020";"375374";"399213";"419652";"436591"
"15";"PA";"1501402";"150140";"Belém";"Sim";"Região Metropolitana de Belém";"1280614";"1304314";"1322683";"1342202";"1386482";"1405871";"1428368";"1408847";"1424120";"1437600";"1393399";"1402056";"1410430";"1425922";"1432844";"1439561";"1446042";"1452275";"1485732";"1492745";"1499641";"1506420"
"16";"AP";"1600303";"160030";"Macapá";"Sim";"Região Metropolitana de Macapá";"283308";"295898";"306583";"318761";"326466";"355408";"368367";"344153";"359022";"366484";"398204";"407023";"415554";"437256";"446757";"456171";"465495";"474706";"493634";"503327";"512902";"522357"
"17";"TO";"1721000";"172100";"Palmas";"Sim";"Região Metropolitana de Palmas";"137355";"150884";"161137";"172176";"187639";"208165";"220889";"178386";"184014";"188645";"228332";"235316";"242070";"257904";"265409";"272726";"279856";"286787";"291855";"299127";"306296";"313349"
"21";"MA";"2111300";"211130";"São Luís";"Sim";"Região Metropolitana da Grande São Luís";"870028";"889129";"906567";"923526";"959124";"978824";"998385";"957515";"986825";"997098";"1014837";"1027430";"1039610";"1053922";"1064197";"1073893";"1082935";"1091868";"1094667";"1101884";"1108975";"1115932"
"22";"PI";"2211001";"221100";"Teresina";"Sim";"Região Integrada de Desenvolvimento da Grande Teresina";"715360";"728881";"740016";"751464";"775477";"788773";"801971";"779939";"794605";"802537";"814230";"822364";"830231";"836475";"840600";"844245";"847430";"850198";"861442";"864845";"868075";"871126"
"23";"CE";"2304400";"230440";"Fortaleza";"Sim";"Região Metropolitana de Fortaleza";"2141402";"2183612";"2219837";"2256233";"2332657";"2374944";"2416920";"2431415";"2473614";"2505552";"2452185";"2476589";"2500194";"2551806";"2571896";"2591188";"2609716";"2627482";"2643247";"2669342";"2686612";"2703391"
