"NOME_CATMETROPOL";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"-";73314897;74146956;74894217;75641133;77242758;78099956;78967508;77744913;80518032;81192736;80988972;81595997;82180152;85113381;85744343;86353267;86940266;87505501;87402926;87970613;88523922;89058435
"Colar Metropolitano";257640;258132;259353;260237;262086;263112;264129;259431;267814;268639;264230;264761;265264;273795;274507;275191;275838;276457;272466;272869;273253;273625
"Colar Metropolitano de Belo Horizonte";474847;483653;491029;498643;514626;523474;532252;530563;547787;554821;545999;551485;556784;579431;585095;590527;595697;600606;602709;608315;613655;618795
"Entorno Metropolitano da RM Vale do Rio Cuiabá";87994;87422;87711;87581;87249;87100;86948;87313;89869;89986;87060;86996;86929;86799;86585;86378;86557;86365;88876;88794;88772;88595
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";565877;581128;593019;605616;632060;646693;661066;689421;712872;727344;686410;695648;704582;742759;752433;761733;770832;779351;769544;778235;786244;794012
"Região Integrada de Desenvolvimento da Grande Teresina";1008198;1022708;1037877;1053047;1084869;1102388;1119875;1092721;1124518;1135566;1150959;1162167;1173125;1182971;1189260;1194911;1199941;1204397;1218917;1223902;1228671;1233220
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";3118030;3208309;3289167;3368733;3535750;3628187;3719926;3684870;3841796;3912788;3910824;3971717;4030596;4239779;4326415;4412429;4497735;4582262;4560505;4627771;4693793;4758469
"Região Metropolitana Carbonífera";484916;492973;499205;505838;519762;527467;535113;519611;534014;538788;550206;555180;559984;579725;586443;593097;599700;606253;611229;617630;623920;630088
"Região Metropolitana da Baixada Santista";1476820;1505903;1530804;1555859;1608456;1637565;1666453;1606863;1651906;1668428;1664136;1678519;1692425;1765277;1781620;1797500;1813033;1828212;1848654;1865397;1881706;1897551
"Região Metropolitana da Capital";247619;257398;264886;272902;291799;299038;308279;298135;310751;316962;340398;347523;354410;368232;374744;381158;387449;393627;438665;463320;484560;502280
"Região Metropolitana da Foz do Rio Itajaí";375589;389989;401107;412949;437809;451568;465225;457670;480575;490939;532771;544840;556511;591705;608177;624497;640699;656764;672298;688442;704300;719842
"Região Metropolitana da Grande São Luís";1225383;1254707;1277788;1303895;1358692;1389018;1419126;1392326;1436038;1456803;1492370;1512833;1532942;1556650;1573884;1590138;1605305;1619377;1621102;1633117;1644923;1656503
"Região Metropolitana da Grande Vitória";1438596;1475831;1502085;1531555;1593415;1627651;1661626;1624837;1664326;1686045;1687704;1706829;1725323;1857619;1884096;1910101;1935483;1960213;1951673;1979337;2006486;2033067
"Região Metropolitana da Serra Gaúcha";627155;639064;649893;661314;685298;698572;711743;687272;707856;715711;738619;747325;755739;786315;793838;800925;807629;813966;843778;854107;864018;873483
"Região Metropolitana da Zona Leste do Estado do Maranhão";343465;345169;346783;348323;351555;353346;355121;355198;365726;367688;379958;382762;385351;388451;390509;392454;394267;395948;399981;401503;402994;404459
"Região Metropolitana da Zona da Mata";274717;273766;273489;272920;271725;271065;270409;285548;293931;295641;288418;289492;290524;302206;303236;304207;305121;305974;301344;302033;302702;303355
"Região Metropolitana de Apucarana";283923;282502;281720;280760;278736;277617;276503;285000;294206;295012;289457;289904;290323;299994;300826;301633;302416;303191;299359;299860;300352;300828
"Região Metropolitana de Aracaju";675667;692048;706277;720477;750295;766803;783186;759998;784036;794475;835816;848093;859965;899239;912647;925744;938550;951073;949342;961120;972637;983876
"Região Metropolitana de Araruna";59475;59494;60362;61050;61110;61142;61177;64892;66691;67221;64572;64853;65121;66584;66925;67255;67571;67874;67543;67781;68012;68237
"Região Metropolitana de Barra de Santa Rosa";72653;72956;73442;73156;73928;74359;74783;75491;77596;78104;77573;77910;78232;79985;80397;80793;81173;81537;81145;81405;81683;81953
"Região Metropolitana de Belo Horizonte";4358171;4452542;4533634;4615197;4786369;4881093;4975126;4939053;5044522;5110593;4883970;4924362;4963420;5156217;5198678;5239394;5278144;5314930;5313480;5353580;5392436;5429839
"Região Metropolitana de Belém";1973259;2025878;2065118;2107743;2204443;2246769;2295911;2247426;2291975;2322688;2275032;2298198;2320604;2360250;2381661;2402437;2422481;2441761;2491052;2510274;2529178;2547756
"Região Metropolitana de Caetés";100302;87231;87493;87520;87578;87610;87641;102500;105654;107433;106707;108179;109543;114725;115983;117170;118283;119325;117337;118184;119091;119975
"Região Metropolitana de Cajazeiras";157694;157828;158396;158967;160163;160824;161485;164138;168606;169621;167971;168822;169640;173641;174671;175657;176608;177519;176520;177393;178104;178797
"Região Metropolitana de Campina Grande";564813;568395;572538;576122;583648;587812;591944;587274;603700;607160;606047;609223;612283;626937;630777;634473;638017;641426;637683;640501;643170;645779
"Região Metropolitana de Campinas";2348059;2400723;2447754;2494029;2591160;2644915;2698267;2645530;2745742;2784167;2808906;2844289;2878503;3016704;3055996;3094181;3131528;3168019;3224443;3264915;3304338;3342707
"Região Metropolitana de Campo Mourão";346686;341417;338066;334078;325714;321086;316492;331220;339321;338264;334125;333177;332246;341425;340863;340320;339787;339264;330164;328863;327595;326363
"Região Metropolitana de Cascavel";451398;455384;459214;462841;470455;474667;478850;482838;493650;497550;488181;491016;493746;512900;516482;519947;523339;526665;526893;530432;533883;537239
"Região Metropolitana de Central";19067;19937;20659;21397;23139;23806;24657;23844;24907;25485;27094;27711;28307;29458;30024;30581;31129;31666;33164;33876;34579;35272
"Região Metropolitana de Chapecó";383812;387535;392653;396797;405495;410311;415086;408726;423987;427742;433790;437651;441365;456766;461966;467116;472227;477299;481091;486044;490907;495675
"Região Metropolitana de Curitiba";2813397;2894585;2954681;3020334;3158141;3234413;3310107;3219763;3309597;3357662;3223836;3255366;3285851;3429888;3466981;3502790;3537894;3572326;3615027;3654960;3693891;3731769
"Região Metropolitana de Esperança";124938;124988;125120;125219;125425;125540;125655;130702;134348;135199;134085;134794;135476;138721;139576;140396;141185;141944;141113;141755;142352;142933
